STATISTIC Label,year,month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1922,January,Base July 1914=100,Base = 100,191
Consumer Price Index,1922,January,Base August 1947=100,Base = 100,
Consumer Price Index,1922,January,Base August 1953=100,Base = 100,
Consumer Price Index,1922,January,Base November 1968=100,Base = 100,
Consumer Price Index,1922,January,Base November 1975=100,Base = 100,
Consumer Price Index,1922,January,Base November 1982=100,Base = 100,
Consumer Price Index,1922,January,Base November 1989=100,Base = 100,
Consumer Price Index,1922,January,Base November 1996=100,Base = 100,
Consumer Price Index,1922,January,Base December 2001=100,Base = 100,
Consumer Price Index,1922,January,Base December 2006=100,Base = 100,
Consumer Price Index,1922,January,Base December 2011=100,Base = 100,
Consumer Price Index,1922,January,Base December 2016=100,Base = 100,
Consumer Price Index,1922,January,Base December 2023=100,Base = 100,
Consumer Price Index,1922,February,Base July 1914=100,Base = 100,191
Consumer Price Index,1922,February,Base August 1947=100,Base = 100,
Consumer Price Index,1922,February,Base August 1953=100,Base = 100,
Consumer Price Index,1922,February,Base November 1968=100,Base = 100,
Consumer Price Index,1922,February,Base November 1975=100,Base = 100,
Consumer Price Index,1922,February,Base November 1982=100,Base = 100,
Consumer Price Index,1922,February,Base November 1989=100,Base = 100,
Consumer Price Index,1922,February,Base November 1996=100,Base = 100,
Consumer Price Index,1922,February,Base December 2001=100,Base = 100,
Consumer Price Index,1922,February,Base December 2006=100,Base = 100,
Consumer Price Index,1922,February,Base December 2011=100,Base = 100,
Consumer Price Index,1922,February,Base December 2016=100,Base = 100,
Consumer Price Index,1922,February,Base December 2023=100,Base = 100,
Consumer Price Index,1922,March,Base July 1914=100,Base = 100,191
Consumer Price Index,1922,March,Base August 1947=100,Base = 100,
Consumer Price Index,1922,March,Base August 1953=100,Base = 100,
Consumer Price Index,1922,March,Base November 1968=100,Base = 100,
Consumer Price Index,1922,March,Base November 1975=100,Base = 100,
Consumer Price Index,1922,March,Base November 1982=100,Base = 100,
Consumer Price Index,1922,March,Base November 1989=100,Base = 100,
Consumer Price Index,1922,March,Base November 1996=100,Base = 100,
Consumer Price Index,1922,March,Base December 2001=100,Base = 100,
Consumer Price Index,1922,March,Base December 2006=100,Base = 100,
Consumer Price Index,1922,March,Base December 2011=100,Base = 100,
Consumer Price Index,1922,March,Base December 2016=100,Base = 100,
Consumer Price Index,1922,March,Base December 2023=100,Base = 100,
Consumer Price Index,1922,April,Base July 1914=100,Base = 100,191
Consumer Price Index,1922,April,Base August 1947=100,Base = 100,
Consumer Price Index,1922,April,Base August 1953=100,Base = 100,
Consumer Price Index,1922,April,Base November 1968=100,Base = 100,
Consumer Price Index,1922,April,Base November 1975=100,Base = 100,
Consumer Price Index,1922,April,Base November 1982=100,Base = 100,
Consumer Price Index,1922,April,Base November 1989=100,Base = 100,
Consumer Price Index,1922,April,Base November 1996=100,Base = 100,
Consumer Price Index,1922,April,Base December 2001=100,Base = 100,
Consumer Price Index,1922,April,Base December 2006=100,Base = 100,
Consumer Price Index,1922,April,Base December 2011=100,Base = 100,
Consumer Price Index,1922,April,Base December 2016=100,Base = 100,
Consumer Price Index,1922,April,Base December 2023=100,Base = 100,
Consumer Price Index,1922,May,Base July 1914=100,Base = 100,191
Consumer Price Index,1922,May,Base August 1947=100,Base = 100,
Consumer Price Index,1922,May,Base August 1953=100,Base = 100,
Consumer Price Index,1922,May,Base November 1968=100,Base = 100,
Consumer Price Index,1922,May,Base November 1975=100,Base = 100,
Consumer Price Index,1922,May,Base November 1982=100,Base = 100,
Consumer Price Index,1922,May,Base November 1989=100,Base = 100,
Consumer Price Index,1922,May,Base November 1996=100,Base = 100,
Consumer Price Index,1922,May,Base December 2001=100,Base = 100,
Consumer Price Index,1922,May,Base December 2006=100,Base = 100,
Consumer Price Index,1922,May,Base December 2011=100,Base = 100,
Consumer Price Index,1922,May,Base December 2016=100,Base = 100,
Consumer Price Index,1922,May,Base December 2023=100,Base = 100,
Consumer Price Index,1922,June,Base July 1914=100,Base = 100,185
Consumer Price Index,1922,June,Base August 1947=100,Base = 100,
Consumer Price Index,1922,June,Base August 1953=100,Base = 100,
Consumer Price Index,1922,June,Base November 1968=100,Base = 100,
Consumer Price Index,1922,June,Base November 1975=100,Base = 100,
Consumer Price Index,1922,June,Base November 1982=100,Base = 100,
Consumer Price Index,1922,June,Base November 1989=100,Base = 100,
Consumer Price Index,1922,June,Base November 1996=100,Base = 100,
Consumer Price Index,1922,June,Base December 2001=100,Base = 100,
Consumer Price Index,1922,June,Base December 2006=100,Base = 100,
Consumer Price Index,1922,June,Base December 2011=100,Base = 100,
Consumer Price Index,1922,June,Base December 2016=100,Base = 100,
Consumer Price Index,1922,June,Base December 2023=100,Base = 100,
Consumer Price Index,1922,July,Base July 1914=100,Base = 100,185
Consumer Price Index,1922,July,Base August 1947=100,Base = 100,
Consumer Price Index,1922,July,Base August 1953=100,Base = 100,
Consumer Price Index,1922,July,Base November 1968=100,Base = 100,
Consumer Price Index,1922,July,Base November 1975=100,Base = 100,
Consumer Price Index,1922,July,Base November 1982=100,Base = 100,
Consumer Price Index,1922,July,Base November 1989=100,Base = 100,
Consumer Price Index,1922,July,Base November 1996=100,Base = 100,
Consumer Price Index,1922,July,Base December 2001=100,Base = 100,
Consumer Price Index,1922,July,Base December 2006=100,Base = 100,
Consumer Price Index,1922,July,Base December 2011=100,Base = 100,
Consumer Price Index,1922,July,Base December 2016=100,Base = 100,
Consumer Price Index,1922,July,Base December 2023=100,Base = 100,
Consumer Price Index,1922,August,Base July 1914=100,Base = 100,185
Consumer Price Index,1922,August,Base August 1947=100,Base = 100,
Consumer Price Index,1922,August,Base August 1953=100,Base = 100,
Consumer Price Index,1922,August,Base November 1968=100,Base = 100,
Consumer Price Index,1922,August,Base November 1975=100,Base = 100,
Consumer Price Index,1922,August,Base November 1982=100,Base = 100,
Consumer Price Index,1922,August,Base November 1989=100,Base = 100,
Consumer Price Index,1922,August,Base November 1996=100,Base = 100,
Consumer Price Index,1922,August,Base December 2001=100,Base = 100,
Consumer Price Index,1922,August,Base December 2006=100,Base = 100,
Consumer Price Index,1922,August,Base December 2011=100,Base = 100,
Consumer Price Index,1922,August,Base December 2016=100,Base = 100,
Consumer Price Index,1922,August,Base December 2023=100,Base = 100,
